Name,X,Y,Angle,Value,Package
ANT1,18.90,13.02,270.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,8.20,-31.00,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,-66.41,-151.84,0.00,10uF,NORDIC_NRF_3_RESC0402_L
C10,15.50,-31.00,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,19.20,-31.00,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,22.80,-31.00,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,26.40,-31.00,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,-66.41,-126.63,0.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C15,-66.41,-131.97,0.00,1.0uF,NORDIC_NRF_3_RESC0402_L
C16,37.40,-31.00,0.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,41.00,-31.00,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,44.60,-31.00,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,48.30,-31.00,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,-66.41,-157.18,0.00,4.7uF/25V,NORDIC_NRF_3_RESC0402_L
C20\,-66.41,-142.65,0.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C21,-66.41,-137.31,0.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C22,59.20,-31.00,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,-65.41,-112.10,0.00,0.1uF,NORDIC_NRF_3_RESC0201_L
C24,-66.41,-106.76,0.00,10uF,NORDIC_NRF_3_RESC0402_L
C25,-66.41,-117.44,0.00,22uF,NORDIC_NRF_3_RESC0402_L
C27,60.00,-79.00,0.00,0.1uF,NORDIC_NRF_3_RESC0201_L
C29,0.01,-12.42,0.00,1uF,NORDIC_NRF_3_RESC0402_L
C3,73.00,-31.00,0.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,10.99,-12.27,0.00,1uF,NORDIC_NRF_3_RESC0402_L
C31,-11.00,-12.45,0.00,1uF,NORDIC_NRF_3_RESC0402_L
C32,-66.41,-162.52,0.00,1uF,NORDIC_NRF_3_RESC0402_L
C33,-66.41,-121.29,0.00,22uF,NORDIC_NRF_3_RESC0402_L
C34,38.20,-79.00,0.00,0.1uF,NORDIC_NRF_3_RESC0201_L
C37,-66.41,-101.42,0.00,1uF,NORDIC_NRF_3_RESC0402_L
C38,-66.41,-90.74,0.00,1uF,NORDIC_NRF_3_RESC0402_L
C39,-66.41,-96.08,0.00,10uF,NORDIC_NRF_3_RESC0402_L
C4,-30.50,-36.30,0.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,-1.74,7.73,0.00,0.1uF,NORDIC_NRF_3_RESC0201_L
C43,-1.74,8.48,0.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C5,-26.90,-36.30,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,-66.41,-146.50,0.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C7,-19.60,-36.30,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,-15.90,-36.30,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,-12.30,-36.30,0.00,820pF,NORDIC_NRF_3_RESC0201_L
D1,-5.53,8.27,0.00,USBLC6-2SC6Y,SOT95P280X145-6N
D2,0.20,-37.70,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D4,7.90,-37.70,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,15.70,-37.70,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
EPD_C1,-10.25,4.43,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C10,-10.27,-5.41,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C11,-10.25,-6.27,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C12,-11.58,-7.28,90.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C2,-10.25,5.37,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C5,-10.62,-1.15,180.00,0.1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C6,-10.27,-2.01,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C7,-10.27,-2.86,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C8,-10.27,-3.72,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C9,-10.27,-4.55,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
IC1,22.20,-37.70,0.00,BQ25180YBGR_BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2,28.20,-37.70,0.00,DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62
IC3,34.40,-37.90,0.00,BMA423,BMA423_BMA423
